[1222/035447.292:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1222/043116.003:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1222/050726.935:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1222/201245.258:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1224/021359.247:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1229/205407.438:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0102/180015.237:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0102/181109.406:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0102/192731.037:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0102/194224.022:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0104/143308.902:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0104/183224.675:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0104/185724.543:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
